INDEX_RC;LOCAL_XI;SCALE_ALPHA;SHAPE_KAPPA;KOUT_1_THETA;KOUT_2_ETA
000069;-99,9;-99,9;-99,9;-99,9;-99,9
000070;-99,9;-99,9;-99,9;-99,9;-99,9
000071;-99,9;-99,9;-99,9;-99,9;-99,9
000072;-99,9;-99,9;-99,9;-99,9;-99,9
000073;-99,9;-99,9;-99,9;-99,9;-99,9
000074;-99,9;-99,9;-99,9;-99,9;-99,9
000075;-99,9;-99,9;-99,9;-99,9;-99,9
000076;-99,9;-99,9;-99,9;-99,9;-99,9
000077;-99,9;-99,9;-99,9;-99,9;-99,9
000078;-99,9;-99,9;-99,9;-99,9;-99,9
000079;-99,9;-99,9;-99,9;-99,9;-99,9
000080;-99,9;-99,9;-99,9;-99,9;-99,9
000081;-99,9;-99,9;-99,9;-99,9;-99,9
000082;-99,9;-99,9;-99,9;-99,9;-99,9
000083;-99,9;-99,9;-99,9;-99,9;-99,9
000084;-99,9;-99,9;-99,9;-99,9;-99,9
000085;-99,9;-99,9;-99,9;-99,9;-99,9
000086;-99,9;-99,9;-99,9;-99,9;-99,9
000087;-99,9;-99,9;-99,9;-99,9;-99,9
000088;-99,9;-99,9;-99,9;-99,9;-99,9
000089;-99,9;-99,9;-99,9;-99,9;-99,9
000090;-99,9;-99,9;-99,9;-99,9;-99,9
000091;-99,9;-99,9;-99,9;-99,9;-99,9
000092;-99,9;-99,9;-99,9;-99,9;-99,9
000093;-99,9;-99,9;-99,9;-99,9;-99,9
000094;-99,9;-99,9;-99,9;-99,9;-99,9
000095;-99,9;-99,9;-99,9;-99,9;-99,9
000096;-99,9;-99,9;-99,9;-99,9;-99,9
000097;-99,9;-99,9;-99,9;-99,9;-99,9
000098;-99,9;-99,9;-99,9;-99,9;-99,9
000099;-99,9;-99,9;-99,9;-99,9;-99,9
000100;-99,9;-99,9;-99,9;-99,9;-99,9
000101;-99,9;-99,9;-99,9;-99,9;-99,9
000102;-99,9;-99,9;-99,9;-99,9;-99,9
000103;-99,9;-99,9;-99,9;-99,9;-99,9
000104;-99,9;-99,9;-99,9;-99,9;-99,9
000105;-99,9;-99,9;-99,9;-99,9;-99,9
000106;-99,9;-99,9;-99,9;-99,9;-99,9
000107;-99,9;-99,9;-99,9;-99,9;-99,9
000108;-99,9;-99,9;-99,9;-99,9;-99,9
000109;-99,9;-99,9;-99,9;-99,9;-99,9
000110;-99,9;-99,9;-99,9;-99,9;-99,9
000111;-99,9;-99,9;-99,9;-99,9;-99,9
000112;-99,9;-99,9;-99,9;-99,9;-99,9
000113;-99,9;-99,9;-99,9;-99,9;-99,9
000114;-99,9;-99,9;-99,9;-99,9;-99,9
000115;-99,9;-99,9;-99,9;-99,9;-99,9
000116;-99,9;-99,9;-99,9;-99,9;-99,9
000117;-99,9;-99,9;-99,9;-99,9;-99,9
000118;-99,9;-99,9;-99,9;-99,9;-99,9
000119;-99,9;-99,9;-99,9;-99,9;-99,9
000120;-99,9;-99,9;-99,9;-99,9;-99,9
000121;-99,9;-99,9;-99,9;-99,9;-99,9
000122;-99,9;-99,9;-99,9;-99,9;-99,9
000123;-99,9;-99,9;-99,9;-99,9;-99,9
000124;-99,9;-99,9;-99,9;-99,9;-99,9
000125;-99,9;-99,9;-99,9;-99,9;-99,9
000126;-99,9;-99,9;-99,9;-99,9;-99,9
000127;-99,9;-99,9;-99,9;-99,9;-99,9
000128;-99,9;-99,9;-99,9;-99,9;-99,9
000129;-99,9;-99,9;-99,9;-99,9;-99,9
000130;-99,9;-99,9;-99,9;-99,9;-99,9
000131;-99,9;-99,9;-99,9;-99,9;-99,9
000132;-99,9;-99,9;-99,9;-99,9;-99,9
000133;-99,9;-99,9;-99,9;-99,9;-99,9
000134;-99,9;-99,9;-99,9;-99,9;-99,9
000135;-99,9;-99,9;-99,9;-99,9;-99,9
000136;-99,9;-99,9;-99,9;-99,9;-99,9
000137;-99,9;-99,9;-99,9;-99,9;-99,9
000138;-99,9;-99,9;-99,9;-99,9;-99,9
000139;-99,9;-99,9;-99,9;-99,9;-99,9
000140;-99,9;-99,9;-99,9;-99,9;-99,9
000141;-99,9;-99,9;-99,9;-99,9;-99,9
000142;-99,9;-99,9;-99,9;-99,9;-99,9
000143;-99,9;-99,9;-99,9;-99,9;-99,9
000144;-99,9;-99,9;-99,9;-99,9;-99,9
000145;-99,9;-99,9;-99,9;-99,9;-99,9
000146;-99,9;-99,9;-99,9;-99,9;-99,9
000147;-99,9;-99,9;-99,9;-99,9;-99,9
000148;-99,9;-99,9;-99,9;-99,9;-99,9
000149;-99,9;-99,9;-99,9;-99,9;-99,9
000150;-99,9;-99,9;-99,9;-99,9;-99,9
000151;-99,9;-99,9;-99,9;-99,9;-99,9
000152;-99,9;-99,9;-99,9;-99,9;-99,9
000153;-99,9;-99,9;-99,9;-99,9;-99,9
000154;-99,9;-99,9;-99,9;-99,9;-99,9
000155;-99,9;-99,9;-99,9;-99,9;-99,9
000156;-99,9;-99,9;-99,9;-99,9;-99,9
000157;-99,9;-99,9;-99,9;-99,9;-99,9
000158;-99,9;-99,9;-99,9;-99,9;-99,9
000159;-99,9;-99,9;-99,9;-99,9;-99,9
000160;-99,9;-99,9;-99,9;-99,9;-99,9
000161;-99,9;-99,9;-99,9;-99,9;-99,9
000162;-99,9;-99,9;-99,9;-99,9;-99,9
000163;-99,9;-99,9;-99,9;-99,9;-99,9
000164;-99,9;-99,9;-99,9;-99,9;-99,9
000165;-99,9;-99,9;-99,9;-99,9;-99,9
000166;-99,9;-99,9;-99,9;-99,9;-99,9
000167;-99,9;-99,9;-99,9;-99,9;-99,9
000168;-99,9;-99,9;-99,9;-99,9;-99,9
000169;-99,9;-99,9;-99,9;-99,9;-99,9
000170;-99,9;-99,9;-99,9;-99,9;-99,9
000171;-99,9;-99,9;-99,9;-99,9;-99,9
000172;-99,9;-99,9;-99,9;-99,9;-99,9
000173;-99,9;-99,9;-99,9;-99,9;-99,9
000174;-99,9;-99,9;-99,9;-99,9;-99,9
000175;-99,9;-99,9;-99,9;-99,9;-99,9
000176;-99,9;-99,9;-99,9;-99,9;-99,9
000177;-99,9;-99,9;-99,9;-99,9;-99,9
000178;-99,9;-99,9;-99,9;-99,9;-99,9
000179;-99,9;-99,9;-99,9;-99,9;-99,9
000180;-99,9;-99,9;-99,9;-99,9;-99,9
000181;-99,9;-99,9;-99,9;-99,9;-99,9
000182;-99,9;-99,9;-99,9;-99,9;-99,9
000183;-99,9;-99,9;-99,9;-99,9;-99,9
000184;-99,9;-99,9;-99,9;-99,9;-99,9
000185;-99,9;-99,9;-99,9;-99,9;-99,9
000186;-99,9;-99,9;-99,9;-99,9;-99,9
000187;-99,9;-99,9;-99,9;-99,9;-99,9
000188;-99,9;-99,9;-99,9;-99,9;-99,9
000189;-99,9;-99,9;-99,9;-99,9;-99,9
000190;-99,9;-99,9;-99,9;-99,9;-99,9
000191;-99,9;-99,9;-99,9;-99,9;-99,9
000192;-99,9;-99,9;-99,9;-99,9;-99,9
000193;-99,9;-99,9;-99,9;-99,9;-99,9
000194;-99,9;-99,9;-99,9;-99,9;-99,9
000195;-99,9;-99,9;-99,9;-99,9;-99,9
000196;-99,9;-99,9;-99,9;-99,9;-99,9
000197;-99,9;-99,9;-99,9;-99,9;-99,9
000198;-99,9;-99,9;-99,9;-99,9;-99,9
000199;-99,9;-99,9;-99,9;-99,9;-99,9
000200;-99,9;-99,9;-99,9;-99,9;-99,9
000201;-99,9;-99,9;-99,9;-99,9;-99,9
000202;-99,9;-99,9;-99,9;-99,9;-99,9
000203;-99,9;-99,9;-99,9;-99,9;-99,9
000204;-99,9;-99,9;-99,9;-99,9;-99,9
000205;-99,9;-99,9;-99,9;-99,9;-99,9
000206;-99,9;-99,9;-99,9;-99,9;-99,9
000207;-99,9;-99,9;-99,9;-99,9;-99,9
000208;-99,9;-99,9;-99,9;-99,9;-99,9
000209;-99,9;-99,9;-99,9;-99,9;-99,9
000210;-99,9;-99,9;-99,9;-99,9;-99,9
000211;-99,9;-99,9;-99,9;-99,9;-99,9
000212;-99,9;-99,9;-99,9;-99,9;-99,9
000213;-99,9;-99,9;-99,9;-99,9;-99,9
000214;-99,9;-99,9;-99,9;-99,9;-99,9
000215;-99,9;-99,9;-99,9;-99,9;-99,9
000216;-99,9;-99,9;-99,9;-99,9;-99,9
000217;-99,9;-99,9;-99,9;-99,9;-99,9
000218;-99,9;-99,9;-99,9;-99,9;-99,9
000219;-99,9;-99,9;-99,9;-99,9;-99,9
000220;-99,9;-99,9;-99,9;-99,9;-99,9
000221;-99,9;-99,9;-99,9;-99,9;-99,9
000222;-99,9;-99,9;-99,9;-99,9;-99,9
000223;-99,9;-99,9;-99,9;-99,9;-99,9
000224;-99,9;-99,9;-99,9;-99,9;-99,9
000225;-99,9;-99,9;-99,9;-99,9;-99,9
000226;-99,9;-99,9;-99,9;-99,9;-99,9
000227;-99,9;-99,9;-99,9;-99,9;-99,9
000228;-99,9;-99,9;-99,9;-99,9;-99,9
000229;-99,9;-99,9;-99,9;-99,9;-99,9
000230;-99,9;-99,9;-99,9;-99,9;-99,9
000231;-99,9;-99,9;-99,9;-99,9;-99,9
000232;-99,9;-99,9;-99,9;-99,9;-99,9
000233;-99,9;-99,9;-99,9;-99,9;-99,9
000234;-99,9;-99,9;-99,9;-99,9;-99,9
000235;-99,9;-99,9;-99,9;-99,9;-99,9
000236;-99,9;-99,9;-99,9;-99,9;-99,9
000237;-99,9;-99,9;-99,9;-99,9;-99,9
000238;-99,9;-99,9;-99,9;-99,9;-99,9
000239;-99,9;-99,9;-99,9;-99,9;-99,9
000240;-99,9;-99,9;-99,9;-99,9;-99,9
000241;-99,9;-99,9;-99,9;-99,9;-99,9
000242;-99,9;-99,9;-99,9;-99,9;-99,9
000243;-99,9;-99,9;-99,9;-99,9;-99,9
000244;-99,9;-99,9;-99,9;-99,9;-99,9
000245;-99,9;-99,9;-99,9;-99,9;-99,9
000246;-99,9;-99,9;-99,9;-99,9;-99,9
000247;-99,9;-99,9;-99,9;-99,9;-99,9
000248;-99,9;-99,9;-99,9;-99,9;-99,9
000249;-99,9;-99,9;-99,9;-99,9;-99,9
000250;-99,9;-99,9;-99,9;-99,9;-99,9
000251;-99,9;-99,9;-99,9;-99,9;-99,9
000252;-99,9;-99,9;-99,9;-99,9;-99,9
000253;-99,9;-99,9;-99,9;-99,9;-99,9
000254;-99,9;-99,9;-99,9;-99,9;-99,9
000255;-99,9;-99,9;-99,9;-99,9;-99,9
000256;-99,9;-99,9;-99,9;-99,9;-99,9
000257;-99,9;-99,9;-99,9;-99,9;-99,9
000258;-99,9;-99,9;-99,9;-99,9;-99,9
000259;-99,9;-99,9;-99,9;-99,9;-99,9
000260;-99,9;-99,9;-99,9;-99,9;-99,9
000261;-99,9;-99,9;-99,9;-99,9;-99,9
000262;-99,9;-99,9;-99,9;-99,9;-99,9
000263;-99,9;-99,9;-99,9;-99,9;-99,9
000264;-99,9;-99,9;-99,9;-99,9;-99,9
000265;-99,9;-99,9;-99,9;-99,9;-99,9
000266;-99,9;-99,9;-99,9;-99,9;-99,9
000267;-99,9;-99,9;-99,9;-99,9;-99,9
000268;-99,9;-99,9;-99,9;-99,9;-99,9
000269;-99,9;-99,9;-99,9;-99,9;-99,9
000270;-99,9;-99,9;-99,9;-99,9;-99,9
000271;-99,9;-99,9;-99,9;-99,9;-99,9
000272;-99,9;-99,9;-99,9;-99,9;-99,9
000273;-99,9;-99,9;-99,9;-99,9;-99,9
000274;-99,9;-99,9;-99,9;-99,9;-99,9
000275;-99,9;-99,9;-99,9;-99,9;-99,9
000276;-99,9;-99,9;-99,9;-99,9;-99,9
000277;-99,9;-99,9;-99,9;-99,9;-99,9
000278;-99,9;-99,9;-99,9;-99,9;-99,9
000279;-99,9;-99,9;-99,9;-99,9;-99,9
000280;-99,9;-99,9;-99,9;-99,9;-99,9
000281;-99,9;-99,9;-99,9;-99,9;-99,9
000282;-99,9;-99,9;-99,9;-99,9;-99,9
000283;-99,9;-99,9;-99,9;-99,9;-99,9
000284;-99,9;-99,9;-99,9;-99,9;-99,9
000285;-99,9;-99,9;-99,9;-99,9;-99,9
000286;-99,9;-99,9;-99,9;-99,9;-99,9
000287;-99,9;-99,9;-99,9;-99,9;-99,9
000288;-99,9;-99,9;-99,9;-99,9;-99,9
000289;-99,9;-99,9;-99,9;-99,9;-99,9
000290;-99,9;-99,9;-99,9;-99,9;-99,9
000291;-99,9;-99,9;-99,9;-99,9;-99,9
000292;-99,9;-99,9;-99,9;-99,9;-99,9
000293;-99,9;-99,9;-99,9;-99,9;-99,9
000294;-99,9;-99,9;-99,9;-99,9;-99,9
000295;-99,9;-99,9;-99,9;-99,9;-99,9
000296;-99,9;-99,9;-99,9;-99,9;-99,9
000297;-99,9;-99,9;-99,9;-99,9;-99,9
000298;-99,9;-99,9;-99,9;-99,9;-99,9
000299;-99,9;-99,9;-99,9;-99,9;-99,9
001000;-99,9;-99,9;-99,9;-99,9;-99,9
001001;-99,9;-99,9;-99,9;-99,9;-99,9
001002;-99,9;-99,9;-99,9;-99,9;-99,9
001003;-99,9;-99,9;-99,9;-99,9;-99,9
001004;-99,9;-99,9;-99,9;-99,9;-99,9
001005;-99,9;-99,9;-99,9;-99,9;-99,9
001006;-99,9;-99,9;-99,9;-99,9;-99,9
001007;-99,9;-99,9;-99,9;-99,9;-99,9
001008;-99,9;-99,9;-99,9;-99,9;-99,9
001009;-99,9;-99,9;-99,9;-99,9;-99,9
001010;-99,9;-99,9;-99,9;-99,9;-99,9
001011;-99,9;-99,9;-99,9;-99,9;-99,9
001012;-99,9;-99,9;-99,9;-99,9;-99,9
001013;-99,9;-99,9;-99,9;-99,9;-99,9
001014;-99,9;-99,9;-99,9;-99,9;-99,9
001015;-99,9;-99,9;-99,9;-99,9;-99,9
001016;-99,9;-99,9;-99,9;-99,9;-99,9
001017;-99,9;-99,9;-99,9;-99,9;-99,9
001018;-99,9;-99,9;-99,9;-99,9;-99,9
001019;-99,9;-99,9;-99,9;-99,9;-99,9
001020;-99,9;-99,9;-99,9;-99,9;-99,9
001021;-99,9;-99,9;-99,9;-99,9;-99,9
001022;-99,9;-99,9;-99,9;-99,9;-99,9
001023;-99,9;-99,9;-99,9;-99,9;-99,9
001024;-99,9;-99,9;-99,9;-99,9;-99,9
001025;-99,9;-99,9;-99,9;-99,9;-99,9
001026;-99,9;-99,9;-99,9;-99,9;-99,9
001027;-99,9;-99,9;-99,9;-99,9;-99,9
001028;-99,9;-99,9;-99,9;-99,9;-99,9
001029;-99,9;-99,9;-99,9;-99,9;-99,9
001030;-99,9;-99,9;-99,9;-99,9;-99,9
001031;-99,9;-99,9;-99,9;-99,9;-99,9
001032;-99,9;-99,9;-99,9;-99,9;-99,9
001033;-99,9;-99,9;-99,9;-99,9;-99,9
001034;-99,9;-99,9;-99,9;-99,9;-99,9
001035;-99,9;-99,9;-99,9;-99,9;-99,9
001036;-99,9;-99,9;-99,9;-99,9;-99,9
001037;-99,9;-99,9;-99,9;-99,9;-99,9
001038;-99,9;-99,9;-99,9;-99,9;-99,9
001039;-99,9;-99,9;-99,9;-99,9;-99,9
001040;-99,9;-99,9;-99,9;-99,9;-99,9
001041;-99,9;-99,9;-99,9;-99,9;-99,9
001042;-99,9;-99,9;-99,9;-99,9;-99,9
001043;-99,9;-99,9;-99,9;-99,9;-99,9
001044;-99,9;-99,9;-99,9;-99,9;-99,9
001045;-99,9;-99,9;-99,9;-99,9;-99,9
001046;-99,9;-99,9;-99,9;-99,9;-99,9
001047;-99,9;-99,9;-99,9;-99,9;-99,9
001048;-99,9;-99,9;-99,9;-99,9;-99,9
001049;-99,9;-99,9;-99,9;-99,9;-99,9
001050;-99,9;-99,9;-99,9;-99,9;-99,9
001051;-99,9;-99,9;-99,9;-99,9;-99,9
001052;-99,9;-99,9;-99,9;-99,9;-99,9
001053;-99,9;-99,9;-99,9;-99,9;-99,9
001054;-99,9;-99,9;-99,9;-99,9;-99,9
001055;-99,9;-99,9;-99,9;-99,9;-99,9
001056;-99,9;-99,9;-99,9;-99,9;-99,9
001057;-99,9;-99,9;-99,9;-99,9;-99,9
001058;-99,9;-99,9;-99,9;-99,9;-99,9
001059;-99,9;-99,9;-99,9;-99,9;-99,9
001060;-99,9;-99,9;-99,9;-99,9;-99,9
001061;-99,9;-99,9;-99,9;-99,9;-99,9
001062;-99,9;-99,9;-99,9;-99,9;-99,9
001063;-99,9;-99,9;-99,9;-99,9;-99,9
001064;-99,9;-99,9;-99,9;-99,9;-99,9
001065;-99,9;-99,9;-99,9;-99,9;-99,9
001066;-99,9;-99,9;-99,9;-99,9;-99,9
001067;-99,9;-99,9;-99,9;-99,9;-99,9
001068;-99,9;-99,9;-99,9;-99,9;-99,9
001069;-99,9;-99,9;-99,9;-99,9;-99,9
001070;-99,9;-99,9;-99,9;-99,9;-99,9
001071;-99,9;-99,9;-99,9;-99,9;-99,9
001072;-99,9;-99,9;-99,9;-99,9;-99,9
001073;-99,9;-99,9;-99,9;-99,9;-99,9
001074;-99,9;-99,9;-99,9;-99,9;-99,9
001075;-99,9;-99,9;-99,9;-99,9;-99,9
001076;-99,9;-99,9;-99,9;-99,9;-99,9
001077;-99,9;-99,9;-99,9;-99,9;-99,9
001078;-99,9;-99,9;-99,9;-99,9;-99,9
001079;-99,9;-99,9;-99,9;-99,9;-99,9
001080;-99,9;-99,9;-99,9;-99,9;-99,9
001081;-99,9;-99,9;-99,9;-99,9;-99,9
001082;-99,9;-99,9;-99,9;-99,9;-99,9
001083;-99,9;-99,9;-99,9;-99,9;-99,9
001084;-99,9;-99,9;-99,9;-99,9;-99,9
001085;-99,9;-99,9;-99,9;-99,9;-99,9
001086;-99,9;-99,9;-99,9;-99,9;-99,9
001087;-99,9;-99,9;-99,9;-99,9;-99,9
001088;-99,9;-99,9;-99,9;-99,9;-99,9
001089;-99,9;-99,9;-99,9;-99,9;-99,9
001090;-99,9;-99,9;-99,9;-99,9;-99,9
001091;-99,9;-99,9;-99,9;-99,9;-99,9
001092;-99,9;-99,9;-99,9;-99,9;-99,9
001093;-99,9;-99,9;-99,9;-99,9;-99,9
001094;-99,9;-99,9;-99,9;-99,9;-99,9
001095;-99,9;-99,9;-99,9;-99,9;-99,9
001096;-99,9;-99,9;-99,9;-99,9;-99,9
001097;-99,9;-99,9;-99,9;-99,9;-99,9
001098;-99,9;-99,9;-99,9;-99,9;-99,9
001099;-99,9;-99,9;-99,9;-99,9;-99,9
001100;-99,9;-99,9;-99,9;-99,9;-99,9
001101;-99,9;-99,9;-99,9;-99,9;-99,9
001102;-99,9;-99,9;-99,9;-99,9;-99,9
001103;-99,9;-99,9;-99,9;-99,9;-99,9
001104;-99,9;-99,9;-99,9;-99,9;-99,9
001105;-99,9;-99,9;-99,9;-99,9;-99,9
001106;-99,9;-99,9;-99,9;-99,9;-99,9
001107;-99,9;-99,9;-99,9;-99,9;-99,9
001108;-99,9;-99,9;-99,9;-99,9;-99,9
001109;-99,9;-99,9;-99,9;-99,9;-99,9
001110;-99,9;-99,9;-99,9;-99,9;-99,9
001111;-99,9;-99,9;-99,9;-99,9;-99,9
001112;-99,9;-99,9;-99,9;-99,9;-99,9
001113;-99,9;-99,9;-99,9;-99,9;-99,9
001114;-99,9;-99,9;-99,9;-99,9;-99,9
001115;-99,9;-99,9;-99,9;-99,9;-99,9
001116;-99,9;-99,9;-99,9;-99,9;-99,9
001117;-99,9;-99,9;-99,9;-99,9;-99,9
001118;-99,9;-99,9;-99,9;-99,9;-99,9
001119;-99,9;-99,9;-99,9;-99,9;-99,9
001120;-99,9;-99,9;-99,9;-99,9;-99,9
001121;-99,9;-99,9;-99,9;-99,9;-99,9
001122;-99,9;-99,9;-99,9;-99,9;-99,9
001123;-99,9;-99,9;-99,9;-99,9;-99,9
001124;-99,9;-99,9;-99,9;-99,9;-99,9
001125;-99,9;-99,9;-99,9;-99,9;-99,9
001126;-99,9;-99,9;-99,9;-99,9;-99,9
001127;-99,9;-99,9;-99,9;-99,9;-99,9
001128;-99,9;-99,9;-99,9;-99,9;-99,9
001129;-99,9;-99,9;-99,9;-99,9;-99,9
001130;-99,9;-99,9;-99,9;-99,9;-99,9
001131;-99,9;-99,9;-99,9;-99,9;-99,9
001132;-99,9;-99,9;-99,9;-99,9;-99,9
001133;-99,9;-99,9;-99,9;-99,9;-99,9
001134;-99,9;-99,9;-99,9;-99,9;-99,9
001135;-99,9;-99,9;-99,9;-99,9;-99,9
001136;-99,9;-99,9;-99,9;-99,9;-99,9
001137;-99,9;-99,9;-99,9;-99,9;-99,9
001138;-99,9;-99,9;-99,9;-99,9;-99,9
001139;-99,9;-99,9;-99,9;-99,9;-99,9
001140;-99,9;-99,9;-99,9;-99,9;-99,9
001141;-99,9;-99,9;-99,9;-99,9;-99,9
001142;-99,9;-99,9;-99,9;-99,9;-99,9
001143;-99,9;-99,9;-99,9;-99,9;-99,9
001144;-99,9;-99,9;-99,9;-99,9;-99,9
001145;-99,9;-99,9;-99,9;-99,9;-99,9
001146;-99,9;-99,9;-99,9;-99,9;-99,9
001147;-99,9;-99,9;-99,9;-99,9;-99,9
001148;-99,9;-99,9;-99,9;-99,9;-99,9
001149;-99,9;-99,9;-99,9;-99,9;-99,9
001150;-99,9;-99,9;-99,9;-99,9;-99,9
001151;-99,9;-99,9;-99,9;-99,9;-99,9
001152;-99,9;-99,9;-99,9;-99,9;-99,9
001153;-99,9;-99,9;-99,9;-99,9;-99,9
001154;-99,9;-99,9;-99,9;-99,9;-99,9
001155;-99,9;-99,9;-99,9;-99,9;-99,9
001156;-99,9;-99,9;-99,9;-99,9;-99,9
001157;-99,9;-99,9;-99,9;-99,9;-99,9
001158;-99,9;-99,9;-99,9;-99,9;-99,9
001159;-99,9;-99,9;-99,9;-99,9;-99,9
001160;-99,9;-99,9;-99,9;-99,9;-99,9
001161;-99,9;-99,9;-99,9;-99,9;-99,9
001162;-99,9;-99,9;-99,9;-99,9;-99,9
001163;-99,9;-99,9;-99,9;-99,9;-99,9
001164;-99,9;-99,9;-99,9;-99,9;-99,9
001165;-99,9;-99,9;-99,9;-99,9;-99,9
001166;-99,9;-99,9;-99,9;-99,9;-99,9
001167;-99,9;-99,9;-99,9;-99,9;-99,9
001168;-99,9;-99,9;-99,9;-99,9;-99,9
001169;-99,9;-99,9;-99,9;-99,9;-99,9
001170;-99,9;-99,9;-99,9;-99,9;-99,9
001171;-99,9;-99,9;-99,9;-99,9;-99,9
001172;-99,9;-99,9;-99,9;-99,9;-99,9
001173;-99,9;-99,9;-99,9;-99,9;-99,9
001174;-99,9;-99,9;-99,9;-99,9;-99,9
001175;-99,9;-99,9;-99,9;-99,9;-99,9
001176;-99,9;-99,9;-99,9;-99,9;-99,9
001177;-99,9;-99,9;-99,9;-99,9;-99,9
001178;-99,9;-99,9;-99,9;-99,9;-99,9
001179;-99,9;-99,9;-99,9;-99,9;-99,9
001180;-99,9;-99,9;-99,9;-99,9;-99,9
001181;-99,9;-99,9;-99,9;-99,9;-99,9
001182;-99,9;-99,9;-99,9;-99,9;-99,9
001183;-99,9;-99,9;-99,9;-99,9;-99,9
001184;-99,9;-99,9;-99,9;-99,9;-99,9
001185;-99,9;-99,9;-99,9;-99,9;-99,9
001186;-99,9;-99,9;-99,9;-99,9;-99,9
001187;-99,9;-99,9;-99,9;-99,9;-99,9
001188;-99,9;-99,9;-99,9;-99,9;-99,9
001189;-99,9;-99,9;-99,9;-99,9;-99,9
001190;-99,9;-99,9;-99,9;-99,9;-99,9
001191;-99,9;-99,9;-99,9;-99,9;-99,9
001192;-99,9;-99,9;-99,9;-99,9;-99,9
001193;-99,9;-99,9;-99,9;-99,9;-99,9
001194;-99,9;-99,9;-99,9;-99,9;-99,9
